"biosum_plot_id","statecd","invyr","unitcd","countycd","plot","measyear","measmon","measday","elev","fvs_variant","half_state","subplot_count_plot","gis_yard_dist","gis_protected_area_yn","gis_roadless_yn","all_cond_not_accessible_yn","plot_accessible_yn","num_cond","one_cond_yn","lat","lon","macro_breakpoint_dia","merch_haul_cost_id","merch_haul_cost_psite","merch_haul_cpa_pt","chip_haul_cost_id","chip_haul_cost_psite","chip_haul_cpa_pt","biosum_status_cd","gis_status_id","idb_plot_id","cn"
"120050605050150058976000",6,2005,1,15,58976,2005,9,20,4700,"NC","CA        ",NA,17076,"N","N","N","Y","2","N",41.629789,-123.74159,24,3699,57,23.3963,9757,78,13.2811364583333,"1",1,NA,"13097450010497                    "
"120050605050150084643000",6,2005,1,15,84643,2005,10,25,300,"NC","CA        ",NA,396,"N","N","N","Y","1","Y",41.585499,-124.058511,24,3708,57,11.5110166666667,9766,78,7.90065416666667,"1",1,NA,"13097194010497                    "
"120050605050150092929000",6,2005,1,15,92929,2005,9,20,2700,"NC","CA        ",NA,5191,"N","N","N","Y","1","Y",41.895835,-123.932136,24,3653,57,20.8356125,9699,78,9.83831875,"1",1,NA,"8600844010901                     "
"120050605050190090854000",6,2005,5,19,90854,2005,8,24,5300,"WS","CA        ",NA,4973,"N","N","N","Y","2","N",36.886778,-118.975781,24,5271,84,16.1897447916667,10631,84,16.1897447916667,"1",1,NA,"13104813010497                    "
"120050605050330053435000",6,2005,3,33,53435,2005,10,20,2100,"NC","CA        ",NA,504,"N","N","N","Y","2","N",39.075801,-122.999977,24,1473,24,5.90760520833333,10058,83,18.84544375,"1",1,NA,"13184986010497                    "
"120050605050690072853000",6,2005,4,69,72853,2005,10,19,3100,"CA","CA        ",NA,9074,"N","N","Y","N","1","Y",36.575002,-121.008939,24,4133,79,14.356015625,10720,84,20.7400375,"1",1,NA,"13167772010497                    "
"120050605050930067269000",6,2005,2,93,67269,2005,8,23,4900,"CA","CAMIX     ",NA,11557,"N","N","N","Y","1","Y",41.137791,-123.285066,24,2703,31,15.8703166666667,7489,32,18.3914354166667,"1",1,NA,"13153871010497                    "
"120050605050930095182000",6,2005,2,93,95182,2005,6,6,2300,"NC","CAMIX     ",NA,14678,"N","N","N","Y","1","Y",41.739121,-123.607639,24,2116,31,18.4697645833333,6158,17,22.07124375,"1",1,NA,"13127341010497                    "
"120050605050930096224000",6,2005,2,93,96224,2005,6,15,6100,"CA","CA        ",NA,3155,"N","N","Y","N","1","Y",41.347806,-123.006622,24,2658,31,8.97348541666667,7022,32,12.7289635416667,"1",1,NA,"13155647010497                    "
"120050605050930097145000",6,2005,2,93,97145,2005,9,20,6100,"CA","CAMIX     ",NA,22906,"N","N","N","Y","1","Y",41.442091,-123.195676,24,2649,31,12.828715625,7001,32,16.58419375,"1",1,NA,"13123439010497                    "
"120050605051050053163000",6,2005,2,105,53163,2005,12,31,2500,"CA","CA        ",NA,17565,"N","N","N","Y","2","N",41.003269,-123.263973,24,2007,5,13.5099083333333,7394,17,13.7836322916667,"1",1,NA,"8984418010901                     "
"120050605051050078872000",6,2005,2,105,78872,2005,9,27,5100,"CA","CAMIX     ",NA,20982,"N","N","N","Y","1","Y",40.987041,-123.121226,24,2017,5,6.64054895833333,9042,53,16.7153135416667,"1",1,NA,"8974711010901                     "
"120050605051050091839000",6,2005,2,105,91839,2005,10,5,6700,"CA","CA        ",NA,17086,"N","N","N","Y","1","Y",41.170155,-122.817916,24,1988,5,9.148440625,7515,32,12.2813510416667,"1",1,NA,"8975161010901                     "
"120050605051070058065000",6,2005,5,107,58065,2005,7,20,1500,"CA","CA        ",NA,194,"N","N","N","Y","1","Y",36.247638,-118.908042,24,5376,84,9.03448854166667,6402,4,7.16852864583333,"1",1,NA,"13113821010497                    "
"120060601060930074936000",6,2006,2,93,74936,2006,10,12,5300,"CA","CAMIX     ",NA,5352,"N","N","Y","N","1","Y",41.964459,-123.065714,24,2341,31,11.1084447916667,7593,32,15.492575,"1",1,NA,"41117655010497                    "
"120060605060070095186000",6,2006,3,7,95186,2006,9,27,2100,"WS","CAMIX     ",NA,100,"N","N","N","Y","1","Y",39.739733,-121.508703,24,5024,82,4.07632526041667,8131,82,4.07632526041667,"1",1,NA,"8935500010901                     "
"120060605060150060483000",6,2006,1,15,60483,2006,9,9,4900,"NC","CA        ",NA,20804,"N","N","N","Y","1","Y",41.65335,-123.697388,24,2122,31,18.8264229166667,6162,17,22.4279020833333,"1",1,NA,"8938285010901                     "
"120060605060150074641000",6,2006,1,15,74641,2006,7,21,300,"NC","CA        ",NA,1125,"N","N","N","Y","3","N",41.78481,-124.066632,24,3675,57,15.590821875,9732,78,4.81750364583333,"1",1,NA,"8938601010901                     "
"120060605060190052325000",6,2006,5,19,52325,2006,10,25,5500,"WS","CA        ",NA,6319,"N","N","N","Y","2","N",36.790775,-118.78965,24,5285,84,11.432165625,10646,84,11.432165625,"1",1,NA,"8887935010901                     "
