FID,OBJECTID,FID_,biosum_plo,statecd,invyr,unitcd,countycd,plot,measyear,measmon,measday,elev,fvs_varian,half_state,subplot_co,gis_yard_d,gis_protec,gis_roadle,all_cond_n,plot_acces,num_cond,one_cond_y,lat,lon,macro_brea,merch_haul,merch_ha_1,merch_ha_2,chip_haul_,chip_hau_1,chip_hau_2,biosum_sta,gis_status,idb_plot_i,cn,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y
0,1,0,120050605050000000000000.000000000000000,6,2005,1,15,58976,2005,9,20,4700,NC,CA, , ,N,N,N,Y,2,N,41.619999999999997,-123.739999999999990,24, , , , , , ,1,1, ,13097450010500.000000000000000,268388,5204.818163519999900,-308580.529600000010000,402565.638600000010000
1,2,1,120050605050000000000000.000000000000000,6,2005,1,15,84643,2005,10,25,300,NC,CA, , ,N,N,N,Y,1,Y,41.579999999999998,-124.050000000000000,24, , , , , , ,1,1, ,13097194010500.000000000000000,1433875,120.738414984000000,-337981.488799999990000,403018.074900000010000
2,3,2,120050605050000000000000.000000000000000,6,2005,1,15,92929,2005,9,20,2700,NC,CA, , ,N,N,N,Y,1,Y,41.890000000000001,-123.930000000000010,24, , , , , , ,1,1, ,8600844010900.000000000000000,1437778,1582.344708880000100,-327521.473999999990000,438325.693000000030000
3,4,3,120050605050000000000000.000000000000000,6,2005,5,19,90854,2005,8,24,5300,WS,CA, , ,N,N,N,Y,2,N,36.880000000000003,-118.970000000000000,24, , , , , , ,1,1, ,13104813010500.000000000000000,1939137,1515.853572329999900,91939.192299999995000,-124329.169700000000000
4,5,4,120050605050000000000000.000000000000000,6,2005,3,33,53435,2005,10,20,2100,NC,CA, , ,N,N,N,Y,2,N,39.070000000000000,-122.989999999999990,24, , , , , , ,1,1, ,13184986010500.000000000000000,72321,153.519098590999990,-258292.790400000000000,121113.718700000000000
5,6,5,120050605051000010000000.000000000000000,6,2005,4,69,72853,2005,10,19,3100,CA,CA, , ,N,N,N,Y,1,Y,36.570000000000000,-121.000000000000000,24, , , , , , ,1,1, ,13167772010500.000000000000000,1223103,2765.780117889999900,-87891.110000000001000,-157968.778800000000000
6,7,6,120050605051000010000000.000000000000000,6,2005,2,93,67269,2005,8,23,4900,CA,CAMIX, , ,N,N,N,Y,1,Y,41.130000000000003,-123.280000000000000,24, , , , , , ,1,1, ,13153871010500.000000000000000,305238,3522.674209780000200,-276096.679854999990000,354178.407257999990000
7,8,7,120050605051000010000000.000000000000000,6,2005,2,93,95182,2005,6,6,2300,NC,CAMIX, , ,N,N,N,Y,1,Y,41.729999999999997,-123.599999999999990,24, , , , , , ,1,1, ,13127341010500.000000000000000,308434,4473.927249479999800,-300884.961899999990000,413820.547499999990000
8,9,8,120050605051000010000000.000000000000000,6,2005,2,93,96224,2005,6,15,6100,CA,CA, , ,N,N,N,Y,1,Y,41.340000000000003,-123.000000000000000,24, , , , , , ,1,1, ,13155647010500.000000000000000,1598119,961.564136842000040,-251762.492800000010000,372358.915500000000000
9,10,9,120050605051000010000000.000000000000000,6,2005,2,93,97145,2005,9,20,6100,CA,CAMIX, , ,N,N,N,Y,1,Y,41.439999999999998,-123.190000000000000,24, , , , , , ,1,1, ,13123439010500.000000000000000,311132,6981.872653559999900,-266822.474400000010000,377833.765399999970000
