"psite_id","Name","trancd","trancd_def","biocd","biocd_def","exists_yn","keeplyr_yn","lat","lon","Status","StatusCode","YearClosed","Names_Prior","Feedstock","Products","Species","City","State","latitude","GIS_Lat","longitude","GIS_Lon","type","County","Mill_Type","biosum_type","Facility"
244,"Big Valley Biomass Power/BVP P","1","Regular             ","2","Energy         ","N","N",41.1316757202148,-121.135704040527,"Idle",0,0,NA,NA,NA,NA,"Bieber","CA",41.132744,41.1316757202148,-121.137368,-121.135704040527,2,NA,NA,2,NA
245,"Blue Lake Power               ","1","Regular             ","2","Energy         ","N","N",40.8770523071289,-123.994094848633,"Idle",0,0,NA,NA,NA,NA,"Blue Lake","CA",40.877693,40.8770523071289,-123.994609,-123.994094848633,2,NA,NA,2,NA
246,"Burney Mountain Power         ","1","Regular             ","2","Energy         ","N","N",40.9095153808594,-121.639465332031,"Idle",0,0,NA,NA,NA,NA,"Burney","CA",40.909703,40.9095153808594,-121.639961,-121.639465332031,2,NA,NA,2,NA
247,"Delano Energy Co- Inc         ","1","Regular             ","2","Energy         ","N","N",35.7179412841797,-119.234703063965,"Idle",0,0,NA,NA,NA,NA,"Delano","CA",35.719097,35.7179412841797,-119.234588,-119.234703063965,2,NA,NA,2,NA
248,"DG Fairhaven                  ","1","Regular             ","2","Energy         ","N","N",40.7994995117188,-124.20369720459,"Idle",0,0,NA,NA,NA,NA,"Samoa","CA",40.79946,40.7994995117188,-124.20309,-124.20369720459,2,NA,NA,2,NA
249,"Imperial Valley Resource Recov","1","Regular             ","2","Energy         ","N","N",32.9060897827148,-115.510963439941,"Idle",0,0,NA,NA,NA,NA,"El Centro","CA",32.906602,32.9060897827148,-115.51372,-115.510963439941,2,NA,NA,2,NA
250,"Shasta Renewable              ","1","Regular             ","2","Energy         ","N","N",40.4739379882812,-122.327590942383,"Idle",0,0,NA,NA,NA,NA,"Anderson","CA",40.473227,40.4739379882812,-122.328937,-122.327590942383,2,NA,NA,2,NA
251,"Madera Power LLC              ","1","Regular             ","2","Energy         ","N","N",36.861198425293,-120.338996887207,"Idle",0,0,NA,NA,NA,NA,"Firebaugh","CA",36.861479,36.861198425293,-120.338865,-120.338996887207,2,NA,NA,2,NA
252,"Mendota Biomass Power Ltd.    ","1","Regular             ","2","Energy         ","N","N",36.7555084228516,-120.368217468262,"Idle",0,0,NA,NA,NA,NA,"Mendota","CA",36.755903,36.7555084228516,-120.365273,-120.368217468262,2,NA,NA,2,NA
253,"Mt. Lassen Power              ","1","Regular             ","2","Energy         ","N","N",40.2970657348633,-121.018486022949,"Idle",0,0,NA,NA,NA,NA,"Westwood","CA",40.296983,40.2970657348633,-121.018053,-121.018486022949,2,NA,NA,2,NA
254,"Pacific Oroville Power Inc.   ","1","Regular             ","2","Energy         ","N","N",39.4814300537109,-121.564697265625,"Idle",0,0,NA,NA,NA,NA,"Oroville","CA",39.480996,39.4814300537109,-121.565567,-121.564697265625,2,NA,NA,2,NA
256,"Sierra Power Corp.            ","1","Regular             ","2","Energy         ","N","N",35.9533882141113,-119.045455932617,"Idle",0,0,NA,NA,NA,NA,"Terra Bella","CA",35.953929,35.9533882141113,-119.046308,-119.045455932617,2,NA,NA,2,NA
257,"SPI Loyalton                  ","1","Regular             ","2","Energy         ","N","N",39.6700325012207,-120.239845275879,"Idle",0,0,NA,NA,NA,NA,"Loyalton","CA",39.669937,39.6700325012207,-120.239409,-120.239845275879,2,NA,NA,2,NA
258,"Tracy Biomass Plant           ","1","Regular             ","2","Energy         ","N","N",37.7209053039551,-121.488151550293,"Idle",0,0,NA,NA,NA,NA,"Tracy","CA",37.719987,37.7209053039551,-121.488451,-121.488151550293,2,NA,NA,2,NA
259,"Air Products Stockton         ","1","Regular             ","2","Energy         ","N","N",37.9133110046387,-121.262130737305,"Idle",0,0,NA,NA,NA,NA,"Stockton","CA",37.912473,37.9133110046387,-121.261706,-121.262130737305,2,NA,NA,2,NA
260,"Ortigalita Power Co.          ","1","Regular             ","2","Energy         ","N","N",37.3347282409668,-120.530334472656,"Idle",0,0,NA,NA,NA,NA,"Merced","CA",37.335114,37.3347282409668,-120.528724,-120.530334472656,2,NA,NA,2,NA
261,"West Biofuels                 ","1","Regular             ","2","Energy         ","N","N",38.7214202880859,-121.756973266602,"Idle",0,0,NA,NA,NA,NA,"Woodland","CA",38.721719,38.7214202880859,-121.7544,-121.756973266602,2,NA,NA,2,NA
283,"Dinuba Energy- Inc            ","1","Regular             ","2","Energy         ","N","N",36.5711250305176,-119.419906616211,"Idle",0,0,NA,NA,NA,NA,"Dinuba","CA",36.569581,36.5711250305176,-119.418984,-119.419906616211,2,NA,NA,2,NA
299,"Rough & Ready Power           ","1","Regular             ","2","Energy         ","N","N",42.1060676574707,-123.676658630371,"Idle",0,0,NA,NA,NA,NA,"Cave Junction","OR",42.106133,42.1060676574707,-123.677315,-123.676658630371,2,NA,NA,2,NA
300,"Buena Vista Biomass Power     ","1","Regular             ","2","Energy         ","N","N",38.2775001525879,-120.913345336914,"Idle",0,0,NA,NA,NA,NA,"Ione","CA",38.27792,38.2775001525879,-120.913763,-120.913345336914,2,NA,NA,2,NA
262,"Diamond Walnut                ","1","Regular             ","2","Energy         ","N","N",37.9508666992188,-121.25505065918,"Non-operational",0,0,NA,NA,NA,NA,"Stockton","CA",37.950083,37.9508666992188,-121.254484,-121.25505065918,2,NA,NA,2,NA
263,"Mesquite Lake Resource Recover","1","Regular             ","2","Energy         ","N","N",32.9043350219727,-115.510528564453,"Non-operational",0,0,NA,NA,NA,NA,"El Centro","CA",32.90381,32.9043350219727,-115.512373,-115.510528564453,2,NA,NA,2,NA
264,"Sierra Biomass (Auberry)      ","1","Regular             ","2","Energy         ","N","N",37.0650177001953,-119.491317749023,"Non-operational",0,0,NA,NA,NA,NA,"Auberry","CA",37.065354,37.0650177001953,-119.491147,-119.491317749023,2,NA,NA,2,NA
