Harvesting.System,Mean.Machine.Time.Hours.Per.Acre,Mean.Modifier,Machine.Cost,Cost.Multiplier,Comment
Cable CTL,meanChipTime,,Chipper,0.15,
Cable CTL,meanHarvesterTime,,Harvester,,
Cable CTL,meanYarderTime,,Yarder,,
Cable Manual Log,meanChipTime,,Chipper,0.5,
Cable Manual Log,meanChainsawTime,,Chainsaw,,
Cable Manual Log,meanSlide.Boom.ProcessorTime,,Slideboom,,
Cable Manual Log,meanYarderTime,,Yarder,,
Cable Manual WT,meanChipTime,,Chipper,0.2,
Cable Manual WT,meanChainsawTime,,Chainsaw,,
Cable Manual WT,meanSlide.Boom.ProcessorTime,,Slideboom,,
Cable Manual WT,meanYarderTime,,Yarder,,
Cable Manual WT/Log,meanChipTime,,Chipper,0.15,
Cable Manual WT/Log,meanChainsawTime,,Chainsaw,,
Cable Manual WT/Log,meanSlide.Boom.ProcessorTime,,Slideboom,,
Cable Manual WT/Log,meanYarderTime,,Yarder,,
Ground-Based CTL,meanChipTime,,Chipper,0.2,
Ground-Based CTL,meanForwarderTime,(mean.ForwarderTime*0.75)+2,Forwarder,,Check this
Ground-Based CTL,meanHarvesterTime,,Harvester,5,
Ground-Based CTL,meanSlide.Boom.ProcessorTime,,Slideboom,,
Ground-Based Manual Log,meanChipTime,,Chipper,0.1,
Ground-Based Manual Log,meanChainsawTime,,Chainsaw,2.5,
Ground-Based Manual Log,meanSkidderTime,,GrappleSkidderLarge,2.5,
Ground-Based Manual Log,meanSlide.Boom.ProcessorTime,,Slideboom,,
Ground-Based Manual WT,meanChipTime,,Chipper,0.1,
Ground-Based Manual WT,meanChainsawTime,,Chainsaw,,
Ground-Based Manual WT,meanSkidderTime,,GrappleSkidderLarge,,
Ground-Based Manual WT,meanSlide.Boom.ProcessorTime,,Slideboom,,
Ground-Based Mech WT,meanChipTime,,Chipper,0.15,
Ground-Based Mech WT,meanFeller.BuncherTime,,Feller Buncher,,
Ground-Based Mech WT,meanSkidderTime,,GrappleSkidderLarge,1.95,
Ground-Based Mech WT,meanSlide.Boom.ProcessorTime,,Slideboom,,
Helicopter CTL,meanHarvesterTime,,Harvester,,
Helicopter CTL,meanHelicopterTime,,Helicopter,,
Helicopter Manual WT,meanHelicopterTime,,Helicopter,,
Helicopter Manual WT,meanChainsawTime,,Chainsaw,,
Shovel Logging,meanChipTime,,Chipper,0.15,
Shovel Logging,meanFeller.BuncherTime,,Shovel,,
Shovel Logging,meanChainsawTime,,Feller Buncher,,Check this
Shovel Logging,meanSlide.Boom.ProcessorTime,,Slideboom,,
Tethered,meanChipTime,,Chipper,,
Tethered,meanTetheredForwarderTime,,TetheredForwarder,,
Tethered,meanTetheredHarvesterTime,,TetheredHarvester,,
Tethered,meanTetheredChainsawTime,,Chainsaw,,
,meanChipTime,,Chipper,0.1,HarSkid
,meanHarvesterTime,,Harvester,,HarSkid
,meanSkidderTime,,Skidder,,HarSkid
,meanSlide.Boom.ProcessorTime,,Slideboom,,HarSkid
