Equation.ID,Name,Machine,Use.Equation?,Equation,Units,Limiting Parameter,Limit Type,Limiting Parameter Value,Old_Time Per Acre Conversions,Old_Equation,Old_Function,Comment,Default.Use.Equation?,RefNum
1,adebayo,Feller Buncher,,30.04 + 0.2*(dbh^2)+ 8.3,,,,,,30.04 + 0.2*((dbh(m))^2)+ 8.3,adebayoFB,,,88
2,adebayo,Harvester,,30.04 + 0.2*(dbh^2)+ 8.3,centi-Minutes/Acre,,,,adebayoHar(m)*treesRemoved(m)/60/60,30.04 + 0.2*((dbh(m))^2)+ 8.3,adebayoHar,These two are the same,Y,88
3,akay,Feller Buncher,,56.62*(log(twitchVolM))+322.09,m^3/PMH,twitchVolM,<,0.2,"ifelse(twitchVolM(m)<.2, (totalVolM(m))/akayFB(m), NA)",56.62*(log(twitchVolM(m)))+322.09,akayFB,,Y,143
4,akay,Helicopter,,1.3721152 + (0.0126924*Percent.Slope) + (0.00246741*One.way.Yarding.Distance) + (0.031200*(3)) + (0.000060987 * (totalVol/12))-(0.000050837 * (totalVol/36)),,,,,," 1.3721152+(0.0126924*m$""Percent.Slope"")+(0.00246741*m$""One.way.Yarding.Distance"")+
    (0.031200*(3))+(0.000060987*(totalVol(m)/12))-(0.000050837*(totalVol(m)/36))",akayHeli,"nominal page 26, document page 31",,146
5,akay,Chainsaw,,56.62*log(twitchVolM)+322.09,,,,,,56.62*(log(twitchVolM(m)))+322.09,akaySaw,Not sure why a single grip harvester equation would be in a Chainsaw section; not sure this eqn is ever accessed,,143
6,akay,Skidder,,(-0.1971+(1.1287*5)+((0.0045*twitchVolM*5))+(0.0063*(One.way.Yarding.Distance*2))),unknown1,One.way.Yarding.Distance,<,3500,"ifelse(m$""One.way.Yarding.Distance""<3500, akaySkid(m)*.4, NA)","-0.1971+(1.1287*5)+((0.0045*twitchVolM(m)*5))+(0.0063*(m$""One.way.Yarding.Distance""*2))",akaySkid,,Y,143
7,akay,Skidder,,(-0.1971+(1.1287*5)+((0.0045*twitchVolM*5))+(0.0063*(One.way.Yarding.Distance*2))),,,,,,"(-0.1971+(1.1287*5)+((0.0045*twitchVolM(m)*5))+(0.0063*(m$""One.way.Yarding.Distance""*2)))",akaySkid2,"akaySkid2 was assigned twice, one matches akaySkid",,143
8,akay,Skidder,,0.012*(One.way.Yarding.Distance^-0.399)*(dbh^2.041)*(5^0.766),,,,,," 0.012*(m$""One.way.Yarding.Distance""^-0.399)*(dbh(m)^2.041)*(5^0.766)",akaySkid2,"akay wrote JF (via John Sessions) that ""I looked for the third equation for skidder and found out that it was slightly modified version of  Kluender et al. (1997). I attached that paper (Equation 5). """,,145
9,aulerich,Yarder,,0.826 + 0.006*(One.way.Yarding.Distance)+0.032*(One.way.Yarding.Distance)+0.897*(treesRemoved),,,,,,"  0.826+0.006*(m$One.way.Yarding.Distance)+0.032*(
    m$One.way.Yarding.Distance)+0.897*(treesRemoved(m))",aulerichYard,,,
10,aulerich,Yarder,,1.925 + 0.002 * (One.way.Yarding.Distance) + 0.017*(One.way.Yarding.Distance) + 0.909*(treesRemoved),,,,,,"  1.925+0.002*(m$One.way.Yarding.Distance)+0.017*(
    m$One.way.Yarding.Distance)+0.909*(treesRemoved(m))",aulerichYard2,,,
