Harvesting.System,Mean.Machine.Time.Hours.Per.Acre,Mean.Modifier,Machine.Cost,Cost.Multiplier,Comment
Cable Manual WT,meanYarderTime,,Yarder,,
Cable Manual WT,meanManualTime,,Chainsaw,,
Cable Manual WT,meanSlide.Boom.ProcessorTime,,Slideboom,,
Cable Manual WT,meanChipTime,,Chipper,0.2,
Cable Manual WT/Log,meanYarderTime,,Yarder,,
Cable Manual WT/Log,meanManualTime,,Chainsaw,,
Cable Manual WT/Log,meanSlide.Boom.ProcessorTime,,Slideboom,,
Cable Manual WT/Log,meanChipTime,,Chipper,0.15,
Ground-Based Manual WT,meanSkidderTime,,GrappleSkidderLarge,,
Ground-Based Manual WT,meanManualTime,,Chainsaw,,
Ground-Based Manual WT,meanSlide.Boom.ProcessorTime,,Slideboom,,
Ground-Based Manual WT,meanChipTime,,Chipper,0.1,
Ground-Based Manual Log,meanSkidderTime,,GrappleSkidderLarge,2.5,
Ground-Based Manual Log,meanManualTime,,Chainsaw,2.5,
Ground-Based Manual Log,meanSlide.Boom.ProcessorTime,,Slideboom,,
Ground-Based Manual Log,meanChipTime,,Chipper,0.1,
Ground-Based CTL,meanForwarderTime,(mean.ForwarderTime*0.75)+2,Forwarder,,Check this
Ground-Based CTL,meanHarvesterTime,,Harvester,5,
Ground-Based CTL,meanSlide.Boom.ProcessorTime,,Slideboom,,
Ground-Based CTL,meanChipTime,,Chipper,0.2,
,meanHarvesterTime,,Harvester,,HarSkid
,meanSlide.Boom.ProcessorTime,,Slideboom,,HarSkid
,meanChipTime,,Chipper,0.1,HarSkid
,meanSkidderTime,,Skidder,,HarSkid
Helicopter CTL,meanHelicopterTime,,Helicopter,,
Helicopter CTL,meanHarvesterTime,,Harvester,,
Cable CTL,meanYarderTime,,Yarder,,
Cable CTL,meanHarvesterTime,,Harvester,,
Cable CTL,meanChipTime,,Chipper,0.15,
Ground-Based Mech WT,meanFeller.BuncherTime,,Feller Buncher,,
Ground-Based Mech WT,meanSkidderTime,,GrappleSkidderLarge,1.95,
Ground-Based Mech WT,meanSlide.Boom.ProcessorTime,,Slideboom,,
Ground-Based Mech WT,meanChipTime,,Chipper,0.15,
Cable Manual Log,meanYarderTime,,Yarder,,
Cable Manual Log,meanManualTime,,Chainsaw,,
Cable Manual Log,meanSlide.Boom.ProcessorTime,,Slideboom,,
Cable Manual Log,meanChipTime,,Chipper,0.5,
Helicopter Manual WT,meanHelicopterTime,,Helicopter,,
Helicopter Manual WT,meanManualTime,,Chainsaw,,
Shovel Logging,meanFeller.BuncherTime,,Shovel,,
Shovel Logging,meanManualTime,,Feller Buncher,,Check this
Shovel Logging,meanSlide.Boom.ProcessorTime,,Slideboom,,
Shovel Logging,meanChipTime,,Chipper,0.15,
Tethered Harvester,meanTetheredHarvesterTime,,Tethered Harvester,,
Tethered Harvester,meanTetheredForwaderTime,,Tethered Forwarder,,
Tethered Harvester,meanChipTime,,Chipper,,
