Equation.ID,Name,Machine,Equation,Units,Limiting Parameter,Limit Type,Limiting Parameter Value,Old Time Per Acre Conversions,Old Equation,Old Function,Comment,DefaultUseEquation?,RefNum,RefEquation,Units,Comment
HELI_04,flatten,Helicopter,(40.737274 + (0.0168951 * One.way.Yarding.Distance)+((totalWeight/12)*2.052894)+(22.658839))*1.2,sec/acre,twitchWeight,<,2900,"ifelse((twitchWeight(m)<2900), flattenHeli(m)/3600, NA)","40.737274+(0.0168951*m$""One.way.Yarding.Distance"")+((totalWeight(m)/12)*2.052894)+(22.658839)",flattenHeli, (with * 1.2 adjuster),Y,32,Total turn time = 40.737274 * 0.0168951 * Distance * 2.052894 * Weight * 22.658839 * Chokers,"Total Turn Time = delay free turn time in seconds; Distance = slope yarding distance in ft;  Weight = turn weight in hundreds of pounts; chokers = are chokers being delivered during the turn cycle, 1  = yes, 0 = no ",Includes minimum  of 900
SKID_06,ghaf,Skidder,13.027 + (0.035 * (One.way.Yarding.Distance * 2))+(0.847 * (Percent.Slope))+(0.551 * (twitchVolM * 5)),unknown5,Percent.Slope,<,45,"ifelse(m$""Percent.Slope""<45, totalVolM(m)/(twitchVolM(m)*30)*ghafSkid(m)/60, NA)","13.027+(0.035*(m$""One.way.Yarding.Distance""*2))+(0.847*(m$""Percent.Slope""))+(0.551*(twitchVolM(m)*5))",ghafSkid,,Y,37,"T = 13.027 + 0.127 * Dw + 0.035 * Ds - 0.847 * S + 0.551 * V,n = 50","T = time of one cycle (min); Dw = Winching distance (m); Ds = skidding distance (m); S = degree of slope (%); V,n = load volume (m3)","Slope should be subtracted not added; does not include winch distance, assumes 5 trees per load; slope min/max was 11/16, winching distance min/max was 2.1/78, skidding distance min/max was 100.4/323.4; piece volume min/max was 1.45/4.93"
SBP_01,ghaf,Slide Boom Processor,23.297/twitchVolM,min/acre,twitchVolM,<,3,"ifelse(twitchVolM(m)<3, ghafLoad(m)/60, NA)",23.297/twitchVolM(m),ghafLoad,,Y,37,"L(t) - 23.297/Vp,n = 24","L(t) = loading time per cycle (min), Vp = piece volume (m3)","Paper likely had a typo in this equation (no equal sign) that was corrected in opcost already; listed as equation for loader; summary statistics show min load volume of 10.22, max of 16.65"
SAW_04,hartsough,Chainsaw,0.1 + 0.0111 * (dbh^1.496),min/tree,,,,(hartsoughSaw(m)*treesRemoved(m))/60,0.1+0.0111*(dbh(m)^1.496),hartsoughSaw,,Y,43,Time/tree = 0.1 + 0.0111 * DBH ^ 1.496,Time/tree = minutes; DBH = inches,
FB_07,hartsough,Feller Buncher,0.324 + 0.00138 * (dbh^2),min/tree,,,,(hartsoughFB(m)*treesRemoved(m))/60,0.324+0.00138*(dbh(m)^2),hartsoughFB,,Y,43,Time/tree = 0.324 + 0.00138 * DBH^2,Time/tree = minutes; DBH = inches,This equation is meant to be used with slope weights that vary by feller buncher machine (drive-to-tree vs. swing boom)
SBP_02,hartsough,Slide Boom Processor,0.141 + 0.0298 * dbh,unknown4,,,,hartsoughSlide(m)*30,  0.141+0.0298*dbh(m),hartsoughSlide,,Y,43,Time/tree = 0.141 + 0.0298 * DBH,Time/tree = minutes; DBH = inches,
SAW_11,hartsough,Chainsaw,0.1 + 0.0111 * (dbh^1.496)  + (Small.log.trees.per.acre+Large.log.trees.per.acre)*0.013333,min/tree,,,,(hartsoughSaw(m)*treesRemoved(m))/60,0.1+0.0111*(dbh(m)^1.496),hartsoughSaw,Added adjustment based on small/large TPA for Cable Manual WT/Log & Ground-Based Manual Log systems,Y,43,,,
FB_08,hiesl,Feller Buncher,exp((-0.826+.309*(dbh))+0.386*sppgrp),,,,,,exp((-0.826+.309*(dbh(m)))+0.386*sppgrp(m)),hieslFB,,,45,,This is same as Harvester,
HAR_10,hiesl,HarvesterCord2,exp((-0.826+.309 * (dbh)) + 0.386*sppgrp),Cords/PMH,,,,cordsPerAcre(m)/hieslHarCord2(m),exp((-0.826+.309*(dbh(m)))+0.386*sppgrp(m)),hieslHarCord2,,,45,log(Productivity) = -0.826 + 0.309 * DBH * 0.386 * SPPGRP,"Productivity = cords/PMH; DBH = in; SPPGRP 1 = softwood, 0 = hardwood",Slopes studied were 1-5%
SKID_07,hiesl,Skidder,exp(1.754 * (-0.0005*One.way.Yarding.Distance)) + (0.755 * twitchVol),Cords/PMH,,,,cordsPerAcre(m)/hieslGrapCord(m),"exp(1.754*(-0.0005*m$""One.way.Yarding.Distance""))+(0.755*twitchVol(m))",hieslGrapCord,,Y,45,log(Productivity) = 1.754 - 0.0005 * Distance * 0.755 * TwitchVol,Productivity = cords/PMH; Distance = ft; TwitchVol = cords,"One way yarding distance and twitchVol are in the wrong units (m and m3); parenthesis are wrong; this maybe should have used the equation on page  137 of the PDF (120 page number at bottom) that uses twitchVol in tons (twitchWeight) instead of cords"" log(Productivity[tons/PMH]) = 2.587 - 0.0005 * Distance (ft) + 0.328 * TwitchVol (tons); slopes were 0-18%"
