Harvesting.System,Machine,Equation.ID,Mean.Modifier,Machine.Cost,Cost.Multiplier,Move.In.Cost.Multiplier,Move.In.Cost.LB,Comment
Cable CTL,Chipper,"CHIP_01, CHIP_02, CHIP_03",,Chipper,0.15,0.6533/Harvest_area_assumed_acres,(Move_In_Hours*300)/Harvest_area_assumed_acres,
Cable CTL,Harvester,"HAR_01, HAR_04, HAR_05, HAR_08, HAR_09",,Harvester,,0.6533/Harvest_area_assumed_acres,(Move_In_Hours*300)/Harvest_area_assumed_acres,
Cable CTL,Yarder,"YARD_04, YARD_05, YARD_07",,Yarder,,0.6533/Harvest_area_assumed_acres,(Move_In_Hours*300)/Harvest_area_assumed_acres,
Cable CTL,MechBrushCut,BC_01,,Harvester,,0,(Move_In_Hours*300)/Harvest_area_assumed_acres,
Cable Manual Log,Chainsaw,"SAW_02, SAW_03, SAW_04, SAW_06",,Chainsaw,,0.6533/Harvest_area_assumed_acres,(Move_In_Hours*200)/Harvest_area_assumed_acres,
Cable Manual Log,Chipper,"CHIP_01, CHIP_02, CHIP_03",,Chipper,0.5,0.6533/Harvest_area_assumed_acres,(Move_In_Hours*200)/Harvest_area_assumed_acres,
Cable Manual Log,Slideboom,"SBP_01, SBP_02, SBP_03",,Slideboom,,0.6533/Harvest_area_assumed_acres,(Move_In_Hours*200)/Harvest_area_assumed_acres,
Cable Manual Log,Yarder,"YARD_04, YARD_05, YARD_07",,Yarder,,0.6533/Harvest_area_assumed_acres,(Move_In_Hours*200)/Harvest_area_assumed_acres,
Cable Manual Log,ManualBrushCut,BC_01,,Chainsaw,,0,(Move_In_Hours*200)/Harvest_area_assumed_acres,
Cable Manual WT,Chainsaw,"SAW_02, SAW_03, SAW_04, SAW_06",,Chainsaw,,0.6533/Harvest_area_assumed_acres,(Move_In_Hours*200)/Harvest_area_assumed_acres,
Cable Manual WT,Chipper,"CHIP_01, CHIP_02, CHIP_03",,Chipper,0.2,0.6533/Harvest_area_assumed_acres,(Move_In_Hours*200)/Harvest_area_assumed_acres,
Cable Manual WT,Slideboom,"SBP_01, SBP_02, SBP_03",,Slideboom,,0.6533/Harvest_area_assumed_acres,(Move_In_Hours*200)/Harvest_area_assumed_acres,
Cable Manual WT,Yarder,"YARD_04, YARD_05, YARD_07",,Yarder,,0.6533/Harvest_area_assumed_acres,(Move_In_Hours*200)/Harvest_area_assumed_acres,
Cable Manual WT,ManualBrushCut,BC_01,,Chainsaw,,0,(Move_In_Hours*200)/Harvest_area_assumed_acres,
Cable Manual WT/Log,Chainsaw,"SAW_09, SAW_10, SAW_11, SAW_13",,Chainsaw,,0.6533/Harvest_area_assumed_acres,(Move_In_Hours*200)/Harvest_area_assumed_acres,
Cable Manual WT/Log,Chipper,"CHIP_01, CHIP_02, CHIP_03",,Chipper,0.15,0.6533/Harvest_area_assumed_acres,(Move_In_Hours*200)/Harvest_area_assumed_acres,
Cable Manual WT/Log,Slideboom,"SBP_01, SBP_02, SBP_03",,Slideboom,,0.6533/Harvest_area_assumed_acres,(Move_In_Hours*200)/Harvest_area_assumed_acres,
Cable Manual WT/Log,Yarder,"YARD_04, YARD_05, YARD_07",,Yarder,,0.6533/Harvest_area_assumed_acres,(Move_In_Hours*200)/Harvest_area_assumed_acres,
Cable Manual WT/Log,ManualBrushCut,BC_01,,Chainsaw,,0,(Move_In_Hours*200)/Harvest_area_assumed_acres,
Ground-Based CTL,Chipper,"CHIP_01, CHIP_02, CHIP_03",,Chipper,0.2,0.6533/Harvest_area_assumed_acres,(Move_In_Hours*300)/Harvest_area_assumed_acres,
Ground-Based CTL,Forwarder,"FOR_06, FOR_07, FOR_08",(mean.ForwarderTime*0.75)+2,Forwarder,,0.6533/Harvest_area_assumed_acres,(Move_In_Hours*300)/Harvest_area_assumed_acres,Check this
Ground-Based CTL,MechBrushCut,BC_01,,Harvester,,0,(Move_In_Hours*300)/Harvest_area_assumed_acres,
Ground-Based CTL,Harvester,"HAR_01, HAR_04, HAR_05, HAR_08, HAR_09",,Harvester,5,0.6533/Harvest_area_assumed_acres,(Move_In_Hours*300)/Harvest_area_assumed_acres,
Ground-Based CTL,Slideboom,"SBP_01, SBP_02, SBP_03",,Slideboom,,0.6533/Harvest_area_assumed_acres,(Move_In_Hours*300)/Harvest_area_assumed_acres,
Ground-Based Manual Log,Chainsaw,"SAW_09, SAW_10, SAW_11, SAW_13",,Chainsaw,2.5,0.6533/Harvest_area_assumed_acres,(Move_In_Hours*200)/Harvest_area_assumed_acres,
Ground-Based Manual Log,Chipper,"CHIP_01, CHIP_02, CHIP_03",,Chipper,0.1,0.6533/Harvest_area_assumed_acres,(Move_In_Hours*200)/Harvest_area_assumed_acres,
Ground-Based Manual Log,Skidder,"SKID_01, SKID_06, SKID_07, SKID_08, SKID_09",,GrappleSkidderLarge,2.5,0.6533/Harvest_area_assumed_acres,(Move_In_Hours*200)/Harvest_area_assumed_acres,
Ground-Based Manual Log,Slideboom,"SBP_01, SBP_02, SBP_03",,Slideboom,,0.6533/Harvest_area_assumed_acres,(Move_In_Hours*200)/Harvest_area_assumed_acres,
Ground-Based Manual Log,ManualBrushCut,BC_01,,Chainsaw,,0,(Move_In_Hours*200)/Harvest_area_assumed_acres,
Ground-Based Manual WT,Chainsaw,"SAW_02, SAW_03, SAW_04, SAW_06",,Chainsaw,,0.6533/Harvest_area_assumed_acres,(Move_In_Hours*200)/Harvest_area_assumed_acres,
Ground-Based Manual WT,Chipper,"CHIP_01, CHIP_02, CHIP_03",,Chipper,0.1,0.6533/Harvest_area_assumed_acres,(Move_In_Hours*200)/Harvest_area_assumed_acres,
Ground-Based Manual WT,Skidder,"SKID_01, SKID_06, SKID_07, SKID_08, SKID_09",,GrappleSkidderLarge,,0.6533/Harvest_area_assumed_acres,(Move_In_Hours*200)/Harvest_area_assumed_acres,
Ground-Based Manual WT,Slideboom,"SBP_01, SBP_02, SBP_03",,Slideboom,,0.6533/Harvest_area_assumed_acres,(Move_In_Hours*200)/Harvest_area_assumed_acres,
Ground-Based Manual WT,ManualBrushCut,BC_01,,Chainsaw,,0,(Move_In_Hours*200)/Harvest_area_assumed_acres,
Ground-Based Mech WT,Chipper,"CHIP_01, CHIP_02, CHIP_03",,Chipper,0.15,0.6533/Harvest_area_assumed_acres,(Move_In_Hours*300)/Harvest_area_assumed_acres,
Ground-Based Mech WT,Feller Buncher,"FB_02, FB_07, FB_10",,Feller Buncher,,0.6533/Harvest_area_assumed_acres,(Move_In_Hours*300)/Harvest_area_assumed_acres,
Ground-Based Mech WT,MechBrushCut,BC_01,,Feller Buncher,,0,(Move_In_Hours*300)/Harvest_area_assumed_acres,
Ground-Based Mech WT,Skidder,"SKID_01, SKID_06, SKID_07, SKID_08, SKID_09",,GrappleSkidderLarge,1.95,0.6533/Harvest_area_assumed_acres,(Move_In_Hours*300)/Harvest_area_assumed_acres,
Ground-Based Mech WT,Slideboom,"SBP_01, SBP_02, SBP_03",,Slideboom,,0.6533/Harvest_area_assumed_acres,(Move_In_Hours*300)/Harvest_area_assumed_acres,
Helicopter CTL,Harvester,"HAR_01, HAR_04, HAR_05, HAR_08, HAR_09",,Harvester,,0.6533/Harvest_area_assumed_acres,(Move_In_Hours*300)/Harvest_area_assumed_acres,
Helicopter CTL,Helicopter,"HELI_02, HELI_03, HELI_04",,Helicopter,,0.6533/Harvest_area_assumed_acres,(Move_In_Hours*300)/Harvest_area_assumed_acres,
Helicopter CTL,MechBrushCut,BC_01,,Harvester,,0,(Move_In_Hours*300)/Harvest_area_assumed_acres,
Helicopter Manual WT,Chainsaw,"SAW_02, SAW_03, SAW_04, SAW_06",,Chainsaw,,0.6533/Harvest_area_assumed_acres,(Move_In_Hours*200)/Harvest_area_assumed_acres,
Helicopter Manual WT,Helicopter,"HELI_02, HELI_03, HELI_04",,Helicopter,,0.6533/Harvest_area_assumed_acres,(Move_In_Hours*200)/Harvest_area_assumed_acres,
Helicopter Manual WT,ManualBrushCut,BC_01,,Chainsaw,,0,(Move_In_Hours*200)/Harvest_area_assumed_acres,
Shovel Logging,Chipper,"CHIP_01, CHIP_02, CHIP_03",,Chipper,0.15,0.6533/Harvest_area_assumed_acres,(Move_In_Hours*200)/Harvest_area_assumed_acres,
Shovel Logging,MechBrushCut,BC_01,,Feller Buncher,,0,(Move_In_Hours*200)/Harvest_area_assumed_acres,
Shovel Logging,Feller Buncher,"FB_02, FB_07, FB_10",,Feller Buncher,,0.6533/Harvest_area_assumed_acres,(Move_In_Hours*200)/Harvest_area_assumed_acres,Check this
Shovel Logging,Feller Buncher,"FB_02, FB_07, FB_10",,Shovel,,0.6533/Harvest_area_assumed_acres,(Move_In_Hours*200)/Harvest_area_assumed_acres,
Shovel Logging,Slideboom,"SBP_01, SBP_02, SBP_03",,Slideboom,,0.6533/Harvest_area_assumed_acres,(Move_In_Hours*200)/Harvest_area_assumed_acres,
Tethered CTL,Chainsaw,SAW_03,,Chainsaw,,0.6533/Harvest_area_assumed_acres,(Move_In_Hours*200)/Harvest_area_assumed_acres,
Tethered CTL,Chipper,CHIP_01,,Chipper,,0.6533/Harvest_area_assumed_acres,(Move_In_Hours*200)/Harvest_area_assumed_acres,
Tethered CTL,Forwarder_DIST,TETH_02,,Forwarder_DIST,,0.6533/Harvest_area_assumed_acres,(Move_In_Hours*200)/Harvest_area_assumed_acres,
Tethered CTL,Forwarder_LOAD,TETH_03,,Forwarder_LOAD,,0.6533/Harvest_area_assumed_acres,(Move_In_Hours*200)/Harvest_area_assumed_acres,
Tethered CTL,Forwarder_WT,TETH_01,,Forwarder_WT,,0.6533/Harvest_area_assumed_acres,(Move_In_Hours*200)/Harvest_area_assumed_acres,
Tethered CTL,Harvester,TETH_04,,TetheredHarvester,,0.6533/Harvest_area_assumed_acres,(Move_In_Hours*200)/Harvest_area_assumed_acres,
Tethered CTL,MechBrushCut,BC_01,,TetheredHarvester,,0,(Move_In_Hours*200)/Harvest_area_assumed_acres,
