Harvesting.System,Move.In.Cost.Component,Move.In.Cost.Multiplier,Move.In.Cost.LB,Chipping.Cost.Muliplier
Cable Manual WT,Yarder,0.6533,(Move_In_Hours*200)/Harvest_area_assumed_acres,
Cable Manual WT,Chainsaw,0.6533,(Move_In_Hours*200)/Harvest_area_assumed_acres,
Cable Manual WT/Log,Yarder,0.6533,(Move_In_Hours*200)/Harvest_area_assumed_acres,
Cable Manual WT/Log,Chainsaw,0.6533,(Move_In_Hours*200)/Harvest_area_assumed_acres,
Ground-Based Manual WT,Chainsaw,0.6533,(Move_In_Hours*200)/Harvest_area_assumed_acres,
Ground-Based Manual WT,GrappleSkidderLarge,0.6533,(Move_In_Hours*200)/Harvest_area_assumed_acres,
Ground-Based CTL,Forwarder,0.6533,(Move_In_Hours*300)/Harvest_area_assumed_acres,
Ground-Based CTL,Harvester,0.6533,(Move_In_Hours*300)/Harvest_area_assumed_acres,
Helicopter CTL,Helicopter,0.6533,(Move_In_Hours*300)/Harvest_area_assumed_acres,
Cable CTL,Chainsaw,0.6533,(Move_In_Hours*300)/Harvest_area_assumed_acres,
Cable CTL,Yarder,0.6533,(Move_In_Hours*300)/Harvest_area_assumed_acres,
Ground-Based Mech WT,Feller Buncher,0.6533,(Move_In_Hours*300)/Harvest_area_assumed_acres,
Ground-Based Mech WT,GrappleSkidderLarge,0.6533,(Move_In_Hours*300)/Harvest_area_assumed_acres,
Cable Manual Log,Yarder,0.6533,(Move_In_Hours*200)/Harvest_area_assumed_acres,
Cable Manual Log,Chainsaw,0.6533,(Move_In_Hours*200)/Harvest_area_assumed_acres,
Helicopter Manual WT,Helicopter,0.6533,(Move_In_Hours*200)/Harvest_area_assumed_acres,
Shovel Logging,Chainsaw,0.6533,(Move_In_Hours*200)/Harvest_area_assumed_acres,
Shovel Logging,Shovel,0.6533,(Move_In_Hours*200)/Harvest_area_assumed_acres,
Tethered Harvester,,0.6533,(Move_In_Hours*200)/Harvest_area_assumed_acres,
Ground-Based Manual Log,Chainsaw,0.6533,(Move_In_Hours*200)/Harvest_area_assumed_acres,
Ground-Based Manual Log,GrappleSkidderLarge,0.6533,(Move_In_Hours*200)/Harvest_area_assumed_acres,
