fvs_variant,FOFEM,diam_class,mortality probability for Flame length 6 to 8,FOFEM Equation,DBH,HT,CRNRATIO,crnht,Latin name,,,
CA,ABAM,2,1.00,1,7.4,46.2,63.0,17,Abies amabilis,,,
CA,ABAM,3,0.94,1,12.1,67.0,70.0,20,,,,
CA,ABAM,5,0.57,1,22.4,98.0,75.0,25,,,,
EC,ABAM,1,1.00,1,3.0,16.0,48.1,8,,,,
EC,ABAM,2,1.00,1,7.1,41.5,43.3,24,,,,
EC,ABAM,3,0.87,1,11.9,63.9,50.5,32,,,,
EC,ABAM,4,0.28,1,17.6,91.2,44.7,50,,,,
EC,ABAM,5,0.10,1,24.7,113.7,51.8,55,,,,
EC,ABAM,6,0.05,1,32.9,139.4,47.8,73,,,,
SO,ABAM,1,1.00,1,3.8,12.0,30.0,8,,,,
SO,ABAM,2,1.00,1,6.0,27.7,57.1,12,,,,
SO,ABAM,3,0.89,1,10.9,63.3,51.7,31,,,,
BM,ABCO,1,0.99,10,2.4,14.3,62.5,5,Abies Concolor,,,
BM,ABCO,2,0.99,10,7.2,35.2,60.7,14,,,,
BM,ABCO,3,0.65,10,12.5,57.9,57.7,24,,,,
BM,ABCO,4,0.46,10,17.3,73.2,61.5,28,,,,
BM,ABCO,5,0.14,10,25.6,95.4,60.0,38,,,,
BM,ABCO,6,0.09,10,33.5,112.1,60.5,44,,,,
BM,ABCO,7,0.14,10,42.9,123.0,71.3,35,,,,
CA,ABCO,1,0.99,10,2.8,15.7,48.9,8,Abies Concolor,,,
CA,ABCO,2,0.99,10,7.2,38.3,51.2,19,,,,
CA,ABCO,3,0.59,10,12.2,61.3,53.9,28,,,,
CA,ABCO,4,0.17,10,17.7,82.7,52.7,39,,,,
CA,ABCO,5,0.11,10,25.5,102.5,56.5,45,,,,
CA,ABCO,6,0.03,10,33.4,123.3,56.4,54,,,,
CA,ABCO,7,0.04,10,44.7,144.8,55.5,64,,,,
EC,ABCO,1,0.99,10,3.9,18.1,80.0,4,,,,
EC,ABCO,2,0.99,10,7.4,32.7,77.2,7,,,,
EC,ABCO,3,0.79,10,11.8,54.3,82.5,9,,,,
EC,ABCO,4,0.34,10,18.6,78.5,55.0,35,,,,
NC,ABCO,1,0.99,10,3.1,15.4,43.5,9,,,,
NC,ABCO,2,0.99,10,7.4,37.7,48.6,19,,,,
NC,ABCO,3,0.58,10,12.4,61.9,47.1,33,,,,
NC,ABCO,4,0.14,10,18.3,93.4,45.7,51,,,,
NC,ABCO,5,0.06,10,25.4,111.1,46.2,60,,,,
NC,ABCO,6,0.03,10,33.7,133.9,49.1,68,,,,
NC,ABCO,7,0.03,10,45.2,155.2,46.8,83,,,,
SO,ABCO,1,0.99,10,2.7,14.7,59.8,6,,,,
SO,ABCO,2,0.99,10,7.2,36.1,62.9,13,,,,
SO,ABCO,3,0.65,10,12.2,57.0,62.3,21,,,,
SO,ABCO,4,0.46,10,17.6,73.8,62.5,28,,,,
SO,ABCO,5,0.14,10,25.1,94.1,63.6,34,,,,
SO,ABCO,6,0.09,10,33.2,108.6,62.7,41,,,,
SO,ABCO,7,0.07,10,44.6,125.0,60.7,49,,,,
WC,ABCO,1,0.99,10,3.2,19.3,18.7,16,,,,
WC,ABCO,2,0.99,10,7.3,42.7,46.1,23,,,,
WC,ABCO,3,0.59,10,11.3,60.7,46.8,32,,,,
WC,ABCO,4,0.10,10,17.9,84.9,47.6,44,,,,
WC,ABCO,5,0.08,10,23.4,103.4,52.0,50,,,,
WC,ABCO,6,0.07,10,32.5,145.0,45.0,80,,,,
WS,ABCO,1,0.99,10,2.7,13.8,52.9,7,,,,
WS,ABCO,2,0.99,10,7.3,33.9,54.0,16,,,,
WS,ABCO,3,0.64,10,12.2,55.6,53.3,26,,,,
WS,ABCO,4,0.36,10,17.6,74.6,53.5,35,,,,
WS,ABCO,5,0.09,10,25.3,99.1,53.3,46,,,,
WS,ABCO,6,0.08,10,33.7,119.6,55.2,54,,,,
WS,ABCO,7,0.05,10,44.9,142.5,56.2,62,,,,
BM,ABGR,1,1.00,11,2.5,14.8,63.5,5,Abies grandis,,,
BM,ABGR,2,1.00,11,7.2,36.6,63.2,13,,,,
BM,ABGR,3,0.97,11,12.2,58.4,62.4,22,,,,
BM,ABGR,4,0.89,11,17.5,78.4,60.7,31,,,,
BM,ABGR,5,0.67,11,25.5,99.8,61.4,39,,,,
